customer_id,customer_name,phone,city,customer_type
1,Amira Chawla,0806072854,Guntur,Tourist
2,Raghav Hans,0394173804,Rajahmundry,Tourist
3,Zain Sane,1630354428,Kurnool,Regular
4,Sumer Atwal,0647799222,Kurnool,Corporate
5,Kanav Kannan,5240162944,Nellore,Regular
6,Nitya Bal,0850328187,Visakhapatnam,Regular
7,Reyansh Dalal,5854034858,Ongole,Corporate
8,Veer Sama,0179964081,Vijayawada,Tourist
9,Jayan Sant,0701233645,Nellore,Tourist
10,Madhup Suri,0909208841,Hyderabad,Corporate
11,Vaibhav Gera,+919218468,Ongole,Regular
12,Diya Rajagopalan,0011712224,Tirupati,Regular
13,Taran Soni,0001423985,Vijayawada,Tourist
14,Indranil Dass,0790536204,Visakhapatnam,Regular
15,Baiju Chopra,3902341778,Kurnool,Corporate
16,Trisha Bhatnagar,0578784703,Kurnool,Tourist
17,Aaryahi Thaman,0321298966,Rajahmundry,Regular
18,Yuvraj  Loyal,+910441246,Vijayawada,Regular
19,Advika Manne,+913441315,Nellore,Corporate
20,Nirvaan Sule,0853820833,Guntur,Tourist
21,Anahita Rajagopal,5278143511,Hyderabad,Corporate
22,Heer Sharaf,0109712649,Vijayawada,Tourist
23,Prisha Brahmbhatt,+919709376,Vijayawada,Corporate
24,Alisha Chaudhary,+915926621,Vijayawada,Tourist
25,Romil Trivedi,+918294636,Hyderabad,Regular
26,Tiya Bhandari,8166209468,Ongole,Tourist
27,Raunak Rattan,+914135441,Hyderabad,Regular
28,Lakshit Chadha,5087848592,Rajahmundry,Tourist
29,Vaibhav Sachdeva,0236800575,Kurnool,Tourist
30,Manikya Singh,0218908992,Vijayawada,Tourist
31,Neelofar Bath,0416708750,Nellore,Corporate
32,Neysa Dhar,0904354764,Vijayawada,Tourist
33,Keya Shenoy,0645223812,Nellore,Corporate
34,Ivan Sha,6636021768,Visakhapatnam,Tourist
35,Ishaan Deshpande,0944023104,Rajahmundry,Regular
36,Badal Bandi,+910468046,Guntur,Regular
37,Yuvraj  Das,+919522026,Visakhapatnam,Tourist
38,Lavanya Badami,+916369620,Vijayawada,Tourist
39,Advik Bhasin,5553435442,Vijayawada,Regular
40,Ryan Dada,+913170409,Nellore,Tourist
41,Miraya Shanker,0720166214,Guntur,Tourist
42,Riaan Zachariah,0731723455,Nellore,Corporate
43,Rati Agrawal,1325569368,Ongole,Corporate
44,Adira Boase,0753692249,Visakhapatnam,Corporate
45,Sumer Chakrabarti,0328814124,Guntur,Tourist
46,Aayush Sarkar,+918974014,Ongole,Tourist
47,Umang Dash,8413373860,Tirupati,Regular
48,Kiaan Saini,+913575841,Ongole,Tourist
49,Kiara Goel,0939851124,Vijayawada,Tourist
50,Dharmajan Sule,0648591478,Hyderabad,Regular
51,Aradhya Vig,+916141860,Visakhapatnam,Corporate
52,Lagan Kala,0932410639,Guntur,Regular
53,Misha Kanda,+910217639,Visakhapatnam,Corporate
54,Armaan Chander,7824422200,Rajahmundry,Regular
55,Abram Banerjee,0000168299,Tirupati,Regular
56,Jivin Srivastava,2798265779,Tirupati,Corporate
57,Aarna Iyengar,+911910812,Nellore,Tourist
58,Vidur Ramaswamy,9435727574,Visakhapatnam,Corporate
59,Ojas Sachdeva,+919023120,Vijayawada,Regular
60,Drishya Gole,+912682097,Rajahmundry,Tourist
61,Indrajit Gokhale,8724332768,Hyderabad,Regular
62,Shamik Bal,0706285446,Kurnool,Regular
63,Ranbir Lala,+910710885,Vijayawada,Corporate
64,Saira Chanda,0301897890,Visakhapatnam,Corporate
65,Purab Kale,0935105012,Tirupati,Regular
66,Nayantara Balay,5417657001,Vijayawada,Corporate
67,Shray Agrawal,+918292645,Guntur,Regular
68,Ahana  Barad,0050746117,Ongole,Regular
69,Chirag Chopra,9296599559,Nellore,Tourist
70,Rania Lad,+919305206,Guntur,Tourist
71,Divij Loke,8169766781,Nellore,Corporate
